frame_idx,size,pix2pix_ms,grace_enc_ms
0,36960,17,182
1,806,16,2589
2,1238,16,149
3,1166,16,157
4,1443,16,147
5,1598,15,148
6,1442,15,148
7,1496,17,151
8,1340,16,151
9,1033,16,151
10,1012,15,151
11,1751,15,150
12,1845,15,150
13,1209,15,149
14,1817,15,150
15,1482,15,150
16,1151,15,149
17,1057,15,150
18,1119,15,151
19,880,15,151
20,967,16,155
21,1709,15,190
22,1628,15,151
23,1438,15,150
24,956,15,149
25,1191,15,151
26,1448,15,150
27,1800,15,153
28,1634,16,157
29,1760,15,150
30,1666,15,150
31,1508,15,151
32,1221,15,156
33,1323,15,152
34,1175,15,151
35,1341,17,153
36,991,15,151
37,1208,15,150
38,1390,15,149
39,1614,15,181
40,1683,15,149
41,1704,15,150
42,1381,15,149
43,1450,15,149
44,1704,16,150
45,931,15,151
46,823,15,150
47,1555,15,179
48,1291,16,186
49,1464,16,174
50,1361,15,150
51,999,15,152
52,1036,16,151
53,1168,16,151
54,1192,15,153
55,876,15,160
56,827,16,153
57,893,15,150
58,1289,15,157
59,1074,15,152
60,928,15,150
61,1230,15,151
62,1656,15,150
63,1576,15,152
64,1816,15,152
65,1963,15,150
66,1785,15,153
67,1737,16,151
68,1588,15,150
69,1325,15,150
70,1220,15,153
71,1942,15,150
72,2030,15,149
73,1426,15,154
74,2033,15,150
75,1743,16,150
76,1388,15,162
77,1319,16,151
78,1436,16,151
79,1199,15,150
80,1287,16,151
81,1984,16,152
82,1922,15,157
83,1732,15,152
84,1219,15,151
85,1495,16,150
86,1763,15,151
87,2083,15,152
88,1937,15,153
89,2016,15,152
90,1942,15,150
91,1746,15,151
92,1455,15,151
93,1578,16,156
94,1325,15,152
95,1336,15,154
96,1390,15,155
97,1337,15,151
98,1481,16,152
99,1679,15,153
100,1779,16,152
101,1746,16,150
102,1420,16,152
103,1482,16,158
104,1655,16,154
105,924,16,162
106,1007,15,151
107,964,17,152
108,1446,16,151
109,1419,15,155
110,1334,24,153
111,948,15,152
112,971,15,154
113,1082,16,153
114,1137,17,151
115,821,16,155
116,797,16,152
117,875,16,151
118,1185,15,152
119,1042,15,161
120,925,16,151
121,1191,15,152
122,1628,16,151
123,1569,15,155
124,1810,15,154
125,1945,15,151
126,1798,15,152
127,1743,16,155
128,1603,16,152
129,1340,17,150
130,1259,15,153
131,1989,16,151
132,2063,15,153
133,1459,16,157
134,1982,16,151
135,1680,16,151
136,1322,15,154
137,1253,16,190
138,1309,16,156
139,1056,21,161
140,1159,15,151
141,1861,15,151
142,1814,16,151
143,1593,15,151
144,1108,15,156
145,1331,15,150
146,1595,15,151
147,1942,15,151
148,1772,16,151
149,1860,15,154
150,1774,16,150
151,1613,15,151
152,1334,15,151
153,1452,16,155
154,1580,15,151
155,1327,15,155
156,1052,15,153
157,1247,16,164
158,1458,19,154
159,1660,15,164
160,1753,15,152
161,1750,16,150
162,1407,15,152
163,1494,16,153
164,1765,21,153
165,931,15,151
166,1451,15,151
167,1012,15,150
168,1348,15,151
169,1507,15,150
170,1460,16,157
171,1085,16,151
172,1082,15,152
173,1262,270,163
174,221,0,27
175,225,0,28
176,228,0,27
177,227,0,28
178,197,0,27
179,254,0,27
180,229,0,27
181,226,0,28
182,1299,15,157
183,993,15,158
184,940,16,162
185,1004,15,152
186,1392,16,152
187,1184,16,154
188,1044,15,160
189,1335,16,153
190,1745,15,152
191,1706,15,152
192,1934,22,163
193,2060,15,152
194,1884,16,156
195,1847,15,186
